epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.3187,4.25102,3.35409,4.1731,0.8118,0.05133,0.00743,0.00197,3.92177,10.6236,4.32752,0.000331579,0.000331579,0.000331579
2,121.038,3.08768,1.9874,4.12165,0.83058,0.09005,0.02632,0.0089,2.87905,5.57991,4.29067,0.000651747,0.000651747,0.000651747
3,177.692,2.44383,1.60997,3.95746,0.91363,0.12561,0.12796,0.05382,2.47842,1.64663,4.19291,0.000958715,0.000958715,0.000958715
4,233.728,2.11096,1.43895,3.93497,0.94225,0.14798,0.15812,0.0826,2.02145,1.32682,4.09704,0.0009406,0.0009406,0.0009406
5,289.583,1.86615,1.2975,3.87146,0.5268,0.16359,0.19248,0.09797,1.91789,1.33587,3.96587,0.0009208,0.0009208,0.0009208
6,345.249,1.79179,1.21849,3.80269,0.55533,0.16602,0.21992,0.11131,1.83459,1.07824,3.86941,0.000901,0.000901,0.000901
7,401.013,1.68814,1.14147,3.72945,0.75738,0.17087,0.18643,0.11013,1.52381,1.08897,3.93637,0.0008812,0.0008812,0.0008812
8,456.348,1.58409,1.07606,3.71509,0.76268,0.17247,0.2282,0.13678,1.55784,1.04414,3.87353,0.0008614,0.0008614,0.0008614
9,511.898,1.58455,1.05075,3.66401,0.77347,0.17367,0.21171,0.12281,1.49657,0.93549,3.78472,0.0008416,0.0008416,0.0008416
10,567.136,1.42777,0.97282,3.5849,0.76368,0.17556,0.25827,0.15897,1.37944,0.87364,3.76084,0.0008218,0.0008218,0.0008218
11,622.604,1.40015,0.94534,3.55187,0.76505,0.23643,0.22387,0.13912,1.34161,0.80915,3.71793,0.000802,0.000802,0.000802
12,677.899,1.3633,0.91039,3.51359,0.97602,0.17136,0.27409,0.16398,1.29774,0.83916,3.71172,0.0007822,0.0007822,0.0007822
13,733.299,1.35532,0.91086,3.47575,0.89034,0.23813,0.29412,0.16337,1.326,0.79357,3.63074,0.0007624,0.0007624,0.0007624
14,788.694,1.30279,0.87893,3.48585,0.97329,0.17717,0.25383,0.16503,1.27964,0.78737,3.56169,0.0007426,0.0007426,0.0007426
15,843.966,1.31054,0.89167,3.41769,0.80105,0.23801,0.28429,0.17056,1.2463,0.79475,3.61964,0.0007228,0.0007228,0.0007228
16,899.399,1.27658,0.88046,3.40044,0.66135,0.23789,0.27921,0.16727,1.21512,0.78395,3.56182,0.000703,0.000703,0.000703
17,954.569,1.22353,0.84513,3.34931,0.98082,0.17694,0.2591,0.17675,1.21021,0.75511,3.55131,0.0006832,0.0006832,0.0006832
18,1009.9,1.23527,0.83451,3.3185,0.97811,0.1807,0.30525,0.19256,1.21186,0.76653,3.50249,0.0006634,0.0006634,0.0006634
19,1065.24,1.23996,0.8451,3.34945,0.92171,0.24437,0.41251,0.27306,1.16187,0.72913,3.44924,0.0006436,0.0006436,0.0006436
20,1120.63,1.22466,0.83454,3.29691,0.75316,0.21693,0.4077,0.25013,1.13873,0.73533,3.49978,0.0006238,0.0006238,0.0006238
21,1175.93,1.16787,0.79837,3.25225,0.79324,0.28197,0.25542,0.16639,1.12738,0.73249,3.43675,0.000604,0.000604,0.000604
22,1231.15,1.19271,0.80853,3.24188,0.80138,0.25987,0.3062,0.20288,1.14052,0.709,3.39902,0.0005842,0.0005842,0.0005842
23,1286.43,1.14597,0.79333,3.24916,0.78696,0.23923,0.30957,0.19986,1.09988,0.69198,3.39234,0.0005644,0.0005644,0.0005644
24,1341.55,1.14667,0.78551,3.2239,0.81656,0.2402,0.28904,0.17801,1.14891,0.70481,3.34228,0.0005446,0.0005446,0.0005446
25,1396.64,1.13152,0.76806,3.19787,0.79273,0.26266,0.31677,0.18645,1.16383,0.71654,3.35489,0.0005248,0.0005248,0.0005248
26,1451.79,1.10768,0.76471,3.1729,0.82647,0.23609,0.28427,0.18795,1.02622,0.68053,3.35627,0.000505,0.000505,0.000505
27,1506.97,1.13066,0.78231,3.16532,0.80431,0.26062,0.27859,0.17266,1.06292,0.67571,3.40772,0.0004852,0.0004852,0.0004852
28,1562.09,1.13686,0.77539,3.20301,0.8094,0.28476,0.31717,0.18679,1.06876,0.67628,3.33692,0.0004654,0.0004654,0.0004654
29,1617.2,1.09076,0.74292,3.10688,0.78132,0.28227,0.27177,0.18564,1.01851,0.6546,3.28747,0.0004456,0.0004456,0.0004456
30,1672.34,1.10983,0.76562,3.14578,0.83353,0.23789,0.28754,0.18783,1.05858,0.66221,3.27295,0.0004258,0.0004258,0.0004258
31,1727.4,1.08659,0.7488,3.09127,0.79541,0.23838,0.28773,0.20493,0.97528,0.65133,3.29763,0.000406,0.000406,0.000406
32,1782.63,1.06222,0.72703,3.08748,0.76876,0.23995,0.29527,0.20395,0.98874,0.64501,3.29044,0.0003862,0.0003862,0.0003862
