epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3372,1.46285,1.83554,2.69744,0.96899,0.1784,0.21727,0.14393,1.02539,1.03703,2.57662,0.000329825,0.000329825,0.000329825
2,82.6503,1.06142,0.92487,2.39141,0.69757,0.30232,0.32141,0.17749,1.0257,0.8301,2.64792,0.000650027,0.000650027,0.000650027
3,120.739,1.02829,0.83503,2.40677,0.90873,0.27259,0.31014,0.17727,0.92079,0.76769,2.5682,0.00095703,0.00095703,0.00095703
4,158.395,0.97505,0.77777,2.33755,0.66416,0.35708,0.32152,0.19616,0.87796,0.70997,2.7182,0.0009406,0.0009406,0.0009406
5,196.254,0.97598,0.7666,2.33215,0.78354,0.30964,0.35268,0.22019,0.89456,0.70161,2.53183,0.0009208,0.0009208,0.0009208
6,234.09,0.91782,0.72072,2.2709,0.90118,0.30638,0.35709,0.21675,0.85347,0.66413,2.42424,0.000901,0.000901,0.000901
7,271.683,0.9208,0.68675,2.25444,0.9401,0.32727,0.41255,0.2727,0.83232,0.6386,2.29504,0.0008812,0.0008812,0.0008812
8,309.503,0.8995,0.66793,2.18808,0.54167,0.44056,0.42506,0.23923,0.8604,0.62894,2.2751,0.0008614,0.0008614,0.0008614
9,347.134,0.89147,0.6605,2.1817,0.8722,0.37024,0.39131,0.27309,0.83154,0.59452,2.2352,0.0008416,0.0008416,0.0008416
10,384.743,0.86253,0.6354,2.12198,0.71122,0.44585,0.4862,0.28329,0.82913,0.59933,2.44741,0.0008218,0.0008218,0.0008218
11,422.515,0.89915,0.63268,2.18695,0.40499,0.54105,0.49114,0.2897,0.81933,0.60807,2.16263,0.000802,0.000802,0.000802
12,460.29,0.84775,0.62047,2.12264,0.74732,0.39648,0.43429,0.29399,0.8231,0.59093,2.14056,0.0007822,0.0007822,0.0007822
13,497.819,0.85016,0.61608,2.11437,0.7239,0.48769,0.4459,0.29171,0.8016,0.58155,2.15007,0.0007624,0.0007624,0.0007624
14,535.47,0.8318,0.61179,2.10508,0.77329,0.48513,0.50942,0.35095,0.79767,0.58631,2.15618,0.0007426,0.0007426,0.0007426
15,573.315,0.82156,0.60545,2.07851,0.5746,0.4629,0.48713,0.31165,0.79552,0.5942,2.16497,0.0007228,0.0007228,0.0007228
16,610.96,0.83062,0.60715,2.09012,0.84895,0.41174,0.46656,0.31958,0.79066,0.57299,2.37211,0.000703,0.000703,0.000703
17,648.529,0.81218,0.57959,2.09701,0.93721,0.4457,0.49745,0.31681,0.78233,0.56348,2.22966,0.0006832,0.0006832,0.0006832
18,685.984,0.82496,0.58214,2.07772,0.78854,0.41834,0.44938,0.30691,0.76166,0.56839,2.10123,0.0006634,0.0006634,0.0006634
19,723.444,0.79975,0.57034,2.02183,0.8697,0.39515,0.47994,0.33017,0.77281,0.55672,2.22336,0.0006436,0.0006436,0.0006436
20,760.966,0.81293,0.58398,2.02373,0.82685,0.3909,0.48136,0.32072,0.76133,0.5476,2.15019,0.0006238,0.0006238,0.0006238
21,798.388,0.79896,0.56163,1.99443,0.92053,0.48851,0.53934,0.36071,0.7385,0.52955,2.06514,0.000604,0.000604,0.000604
22,836.094,0.77803,0.54308,2.01687,0.80701,0.41725,0.48726,0.32905,0.75919,0.53262,2.10167,0.0005842,0.0005842,0.0005842
23,873.549,0.81969,0.56411,2.00873,0.87416,0.41021,0.47918,0.32507,0.76363,0.5433,2.16279,0.0005644,0.0005644,0.0005644
24,911.029,0.79053,0.56084,1.96884,0.43425,0.60029,0.48606,0.32899,0.77375,0.53739,2.16161,0.0005446,0.0005446,0.0005446
25,948.493,0.75543,0.53247,1.97598,0.62307,0.36254,0.46804,0.30049,0.72415,0.52552,2.08212,0.0005248,0.0005248,0.0005248
26,985.95,0.76523,0.53954,1.97776,0.72833,0.53886,0.56491,0.39784,0.73688,0.54286,2.06895,0.000505,0.000505,0.000505
27,1023.67,0.75575,0.54049,1.9839,0.63976,0.60832,0.55834,0.39922,0.71696,0.52645,2.03326,0.0004852,0.0004852,0.0004852
28,1061.45,0.76888,0.54196,1.96401,0.44395,0.5861,0.54546,0.38275,0.76052,0.53792,2.02589,0.0004654,0.0004654,0.0004654
