epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2406,4.39039,3.66344,4.18234,0.81111,0.01189,0.00389,0.00085,4.41309,2.82305,4.11636,0.000331579,0.000331579,0.000331579
2,52.501,3.80977,2.50902,4.11298,0.81526,0.05085,0.00994,0.00267,3.64109,3.65633,4.21771,0.000651747,0.000651747,0.000651747
3,76.9644,3.03955,2.03029,4.00097,0.90421,0.07767,0.08478,0.03061,2.99312,1.96781,4.15087,0.000958715,0.000958715,0.000958715
4,100.296,2.48769,1.74657,3.96244,0.94481,0.11465,0.13452,0.05844,2.48061,1.4903,3.96579,0.0009406,0.0009406,0.0009406
5,123.415,2.20408,1.55975,3.90008,0.94636,0.12814,0.17107,0.08616,2.0184,1.46328,4.03155,0.0009208,0.0009208,0.0009208
6,146.33,2.06189,1.44821,3.83048,0.94669,0.14939,0.18005,0.08688,1.9353,1.28287,3.96395,0.000901,0.000901,0.000901
7,169.03,1.92283,1.3518,3.77656,0.95044,0.15583,0.21761,0.11348,1.82837,1.27622,3.93405,0.0008812,0.0008812,0.0008812
8,191.398,1.80312,1.28915,3.73999,0.96107,0.16468,0.19916,0.10006,1.78422,1.11937,3.83596,0.0008614,0.0008614,0.0008614
9,214.015,1.74279,1.23685,3.70104,0.75627,0.1676,0.22817,0.11235,1.61542,1.07424,3.8767,0.0008416,0.0008416,0.0008416
10,236.593,1.62767,1.16936,3.62492,0.56932,0.16663,0.21374,0.11586,1.61229,1.0067,3.85536,0.0008218,0.0008218,0.0008218
11,259.069,1.60345,1.13809,3.60627,0.97476,0.16723,0.27252,0.12826,1.47654,1.00169,3.86537,0.000802,0.000802,0.000802
12,281.41,1.55138,1.08702,3.56676,0.76602,0.171,0.29354,0.14064,1.45176,0.97018,3.77652,0.0007822,0.0007822,0.0007822
13,303.929,1.5393,1.07705,3.54918,0.97449,0.17294,0.21987,0.12826,1.42243,0.88809,3.73494,0.0007624,0.0007624,0.0007624
14,326.352,1.47147,1.04107,3.54809,0.7726,0.16808,0.23498,0.13385,1.3673,0.91609,3.71407,0.0007426,0.0007426,0.0007426
15,348.721,1.47042,1.03488,3.47056,0.77333,0.17274,0.21833,0.13617,1.34399,0.89533,3.67576,0.0007228,0.0007228,0.0007228
16,371.324,1.43229,1.00609,3.45247,0.77663,0.17247,0.23195,0.13617,1.32005,0.88278,3.69283,0.000703,0.000703,0.000703
17,393.736,1.37406,0.98809,3.41506,0.9747,0.17265,0.26709,0.16118,1.35891,0.85729,3.56334,0.0006832,0.0006832,0.0006832
18,416.069,1.39683,0.9825,3.38222,0.77305,0.1753,0.20087,0.12575,1.34885,0.86209,3.58055,0.0006634,0.0006634,0.0006634
19,438.352,1.39652,0.98642,3.40479,0.97502,0.17779,0.34089,0.20719,1.26209,0.85499,3.57838,0.0006436,0.0006436,0.0006436
20,460.93,1.36858,0.9633,3.35435,0.97596,0.17944,0.21254,0.13999,1.22306,0.8026,3.53625,0.0006238,0.0006238,0.0006238
21,483.32,1.32036,0.92684,3.2912,0.77537,0.17452,0.27235,0.14984,1.25559,0.82132,3.45623,0.000604,0.000604,0.000604
22,505.537,1.3284,0.94989,3.30857,0.97505,0.17542,0.2823,0.15436,1.2653,0.84212,3.49938,0.0005842,0.0005842,0.0005842
23,528.04,1.29452,0.94431,3.31896,0.97541,0.17245,0.32819,0.22591,1.20669,0.87089,3.45833,0.0005644,0.0005644,0.0005644
24,550.449,1.30727,0.93447,3.28474,0.77624,0.1767,0.20964,0.13954,1.19704,0.82006,3.44226,0.0005446,0.0005446,0.0005446
25,572.658,1.27842,0.90406,3.25944,0.97557,0.17703,0.34937,0.23549,1.2296,0.81619,3.40506,0.0005248,0.0005248,0.0005248
26,595.067,1.27665,0.90973,3.24308,0.97816,0.17609,0.29873,0.19113,1.202,0.80624,3.4465,0.000505,0.000505,0.000505
27,617.494,1.29034,0.92083,3.22416,0.97634,0.1801,0.36682,0.24056,1.16642,0.79512,3.42724,0.0004852,0.0004852,0.0004852
28,639.928,1.2527,0.89908,3.26926,0.97466,0.18151,0.27562,0.1809,1.12273,0.76229,3.35206,0.0004654,0.0004654,0.0004654
29,662.168,1.22594,0.87441,3.17042,0.92558,0.19296,0.28856,0.16967,1.11942,0.75933,3.38535,0.0004456,0.0004456,0.0004456
30,684.558,1.25434,0.90489,3.22224,0.97804,0.17512,0.33231,0.22304,1.14358,0.80171,3.38715,0.0004258,0.0004258,0.0004258
31,706.934,1.22286,0.88513,3.16091,0.8242,0.25975,0.31438,0.19005,1.15266,0.79165,3.33109,0.000406,0.000406,0.000406
